date_time,exchange_id,instrument_id,price,volume,amount,buy_open,sell_open,buy_close,sell_close
2024-10-18T01:29:00.400Z,,,3795.0,126,143451000.0,1,0,0,0
2024-10-18T01:30:00.400Z,,,3795.0,201,228812760.0,0,1,0,0
2024-10-18T01:30:00.900Z,,,3793.8,287,326673720.0,0,0,0,0
2024-10-18T01:30:01.400001Z,,,3794.8,324,368784540.0,0,0,0,0
2024-10-18T01:30:01.900Z,,,3792.0,356,405204720.0,0,0,0,0
2024-10-18T01:30:02.400Z,,,3793.4,385,438202320.0,0,0,0,0
2024-10-18T01:30:02.900Z,,,3792.8,412,468926400.0,0,0,0,0
2024-10-18T01:30:03.400Z,,,3792.8,485,551979660.0,0,0,0,0
2024-10-18T01:30:03.900Z,,,3794.6,508,578156820.0,0,0,0,0
2024-10-18T01:30:04.400Z,,,3794.6,547,622534500.0,0,0,0,0
2024-10-18T01:30:04.900Z,,,3793.6,568,646431780.0,0,0,0,0
2024-10-18T01:30:05.400Z,,,3794.0,606,689684100.0,0,0,0,0
2024-10-18T01:30:05.900Z,,,3795.0,647,736352820.0,0,0,0,0
2024-10-18T01:30:06.400Z,,,3794.8,671,763674060.0,0,0,0,0
2024-10-18T01:30:06.900Z,,,3794.8,694,789856740.0,0,0,0,0
2024-10-18T01:30:07.400Z,,,3794.6,714,812621580.0,0,0,0,0
2024-10-18T01:30:07.900Z,,,3794.2,727,827419020.0,0,0,0,0
2024-10-18T01:30:08.400Z,,,3794.8,751,854741520.0,0,0,0,0
2024-10-18T01:30:08.900Z,,,3794.8,767,872954820.0,0,0,0,0
2024-10-18T01:30:09.400Z,,,3795.0,803,913935960.0,0,0,0,0
2024-10-18T01:30:09.900Z,,,3795.0,811,923043480.0,0,0,0,0
2024-10-18T01:30:10.400Z,,,3794.8,841,957196260.0,0,0,0,0
2024-10-18T01:30:10.900Z,,,3794.6,857,975408960.0,0,0,0,0
2024-10-18T01:30:11.400Z,,,3794.0,882,1003866780.0,0,0,0,0
2024-10-18T01:30:11.900Z,,,3794.4,907,1032324180.0,0,0,0,0
2024-10-18T01:30:12.400Z,,,3794.0,926,1053953340.0,0,0,0,0
2024-10-18T01:30:12.900Z,,,3795.4,936,1065339240.0,0,0,0,0
2024-10-18T01:30:13.400Z,,,3795.6,949,1080143280.0,0,0,0,0
2024-10-18T01:30:13.900Z,,,3796.8,956,1088116020.0,0,0,0,0
2024-10-18T01:30:14.400Z,,,3796.2,1015,1155300420.0,0,0,0,0
2024-10-18T01:30:14.900Z,,,3797.0,1030,1172385600.0,0,0,0,0
2024-10-18T01:30:15.400Z,,,3796.8,1045,1189470420.0,0,0,0,0
2024-10-18T01:30:15.900Z,,,3797.2,1066,1213389780.0,0,0,0,0
2024-10-18T01:30:16.400Z,,,3797.2,1094,1245284040.0,0,0,0,0
2024-10-18T01:30:16.900Z,,,3797.0,1119,1273763520.0,0,0,0,0
2024-10-18T01:30:17.400Z,,,3797.2,1136,1293129420.0,0,0,0,0
2024-10-18T01:30:17.900Z,,,3797.2,1165,1326168780.0,0,0,0,0
2024-10-18T01:30:18.400Z,,,3798.6,1181,1344396720.0,0,0,0,0
2024-10-18T01:30:18.900Z,,,3799.2,1188,1352373960.0,0,0,0,0
2024-10-18T01:30:19.400Z,,,3799.0,1197,1362631200.0,0,0,0,0
2024-10-18T01:30:19.900Z,,,3799.0,1202,1368329820.0,0,0,0,0
2024-10-18T01:30:20.400Z,,,3799.4,1228,1397963100.0,0,0,0,0
2024-10-18T01:30:20.900Z,,,3799.8,1253,1426458540.0,0,0,0,0
2024-10-18T01:30:21.400Z,,,3799.6,1275,1451534820.0,0,0,0,0
2024-10-18T01:30:21.900Z,,,3800.0,1286,1464074220.0,0,0,0,0
2024-10-18T01:30:22.400Z,,,3800.4,1296,1475474640.0,0,0,0,0
2024-10-18T01:30:22.900Z,,,3799.4,1333,1517655120.0,0,0,0,0
2024-10-18T01:30:23.400Z,,,3799.0,1341,1526774160.0,0,0,0,0
2024-10-18T01:30:23.900Z,,,3799.0,1357,1545009360.0,0,0,0,0
2024-10-18T01:30:24.400Z,,,3799.8,1370,1559827740.0,0,0,0,0
2024-10-18T01:30:24.900Z,,,3799.2,1387,1579204920.0,0,0,0,0
2024-10-18T01:30:25.400Z,,,3799.4,1392,1584903720.0,0,0,0,0
2024-10-18T01:30:25.900Z,,,3799.8,1406,1600861320.0,0,0,0,0
2024-10-18T01:30:26.400Z,,,3799.6,1421,1617960000.0,0,0,0,0
2024-10-18T01:30:26.900Z,,,3799.4,1426,1623658740.0,0,0,0,0
2024-10-18T01:30:27.400Z,,,3799.6,1438,1637334720.0,0,0,0,0
2024-10-18T01:30:27.900Z,,,3799.6,1447,1647592920.0,0,0,0,0
2024-10-18T01:30:28.400Z,,,3799.8,1461,1663550940.0,0,0,0,0
2024-10-18T01:30:28.900Z,,,3799.2,1470,1673808480.0,0,0,0,0
2024-10-18T01:30:29.400Z,,,3799.6,1475,1679508060.0,0,0,0,0
2024-10-18T01:30:29.900Z,,,3800.0,1487,1693187340.0,0,0,0,0
2024-10-18T01:30:30.400Z,,,3800.4,1494,1701167460.0,0,0,0,0
2024-10-18T01:30:30.900Z,,,3800.6,1504,1712568300.0,0,0,0,0
2024-10-18T01:30:31.400Z,,,3800.4,1514,1723970160.0,0,0,0,0
